State,Date,Count
Karnataka,2021-01,3
Karnataka,2021-02,5
Karnataka,2021-03,5
Karnataka,2021-04,4
Karnataka,2021-05,0
Karnataka,2021-06,0
Karnataka,2021-07,2
Karnataka,2021-08,0
Karnataka,2021-09,6
Karnataka,2021-10,7
Karnataka,2021-11,9
Karnataka,2021-12,7
Karnataka,2020-01,3
Karnataka,2020-02,2
Karnataka,2020-03,1
Karnataka,2020-04,0
Karnataka,2020-05,0
Karnataka,2020-06,1
Karnataka,2020-07,0
Karnataka,2020-08,0
Karnataka,2020-09,2
Karnataka,2020-10,1
Karnataka,2020-11,2
Karnataka,2020-12,0
Karnataka,2019-01,2
Karnataka,2019-02,0
Karnataka,2019-03,1
Karnataka,2019-04,2
Karnataka,2019-05,1
Karnataka,2019-06,2
Karnataka,2019-07,0
Karnataka,2019-08,1
Karnataka,2019-09,0
Karnataka,2019-10,0
Karnataka,2019-11,3
Karnataka,2019-12,1
Karnataka,2018-01,0
Karnataka,2018-02,0
Karnataka,2018-03,0
Karnataka,2018-04,0
Karnataka,2018-05,0
Karnataka,2018-06,1
Karnataka,2018-07,0
Karnataka,2018-08,1
Karnataka,2018-09,0
Karnataka,2018-10,2
Karnataka,2018-11,3
Karnataka,2018-12,0
